nameplate,generation,fuel,age,capacityfactor,co2emissions,co2emissionsRate
24,34545,HYDRO,80,0.1678,0,0
16,28904,HYDRO,56.9,0.2075,0,0
131,198014,HYDRO,11.4,0.1723,0,0
87,121614,HYDRO,65,0.1603,0,0
130,358836,HYDRO,52,0.3151,0,0
48,86,GAS,38,0,114.64,2666.09
104,114698,OIL,59.4,0.1254,127982.53,2231.64
610,3161814,OIL,43.1,0.592,2695557.7,1705.07
475,1137655,OIL,52.2,0.2736,1033314.64,1816.57
8,2765,OIL,43.7,0.0421,2327.96,1683.88
21,1205,OIL,49.3,0.0066,1436.62,2384.43
3,12089,HYDRO,29.6,0.4452,0,0
37,204642,OIL,44.4,0.6297,221197.87,2161.8
1,4630,HYDRO,91.9,0.5285,0,0
12,37010,HYDRO,32,0.3492,0,0
50,79701,HYDRO,31,0.182,0,0
2,9385,HYDRO,31,0.487,0,0
11,8269,OIL,19.3,0.0882,7853.06,1899.4
23,108210,HYDRO,27,0.5279,0,0
6,21272,HYDRO,26,0.4047,0,0
15,34546,OIL,25.3,0.2612,28186.39,1631.82
3,7448,HYDRO,23,0.3037,0,0
28,140209,HYDRO,25,0.5636,0,0
9,28741,HYDRO,24,0.3645,0,0
92,318627,HYDRO,37,0.3936,0,0
75,336360,HYDRO,65.3,0.512,0,0
585,2245004,HYDRO,48.4,0.4378,0,0
83,423822,HYDRO,63,0.5843,0,0
12,35781,HYDRO,31.5,0.3294,0,0
3,16021,HYDRO,78,0.7316,0,0
14,106970,HYDRO,67,0.9045,0,0
60,225212,HYDRO,66,0.4285,0,0
5,74,OIL,48,0.0017,70.77,1912.63
13,91679,HYDRO,95,0.8373,0,0
25,124623,HYDRO,21,0.5691,0,0
9,51590,HYDRO,96.8,0.6692,0,0
53,115370,HYDRO,29.6,0.2499,0,0
18,123562,HYDRO,78,0.7836,0,0
8,61403,HYDRO,67,0.8445,0,0
7,22728,HYDRO,93.3,0.3815,0,0
33,63490,HYDRO,92,0.2196,0,0
30,28335,HYDRO,98,0.1078,0,0
14,13592,HYDRO,91,0.1108,0,0
265,941484,HYDRO,62.5,0.4053,0,0
15,90272,HYDRO,90.7,0.7107,0,0
1,4344,HYDRO,30,0.4959,0,0
400,1289227,HYDRO,40.6,0.3679,0,0
8,41025,HYDRO,33,0.5854,0,0
3,0,HYDRO,75,0,0,0
8,46022,HYDRO,33,0.6567,0,0
2,7091,HYDRO,31,0.5396,0,0
176,606219,HYDRO,57.8,0.3923,0,0
42,203978,HYDRO,60,0.5544,0,0
780,4922838,COAL,46.5,0.7202,5571892.56,2263.69
1005,4855369,COAL,45.7,0.5513,6012405.45,2476.6
647,195481,GAS,28.2,0.0345,105932.33,1083.81
153,558031,COAL,61.2,0.4164,711518.17,2550.1
564,786782,COAL,51.8,0.1592,916719.31,2330.3
597,2427899,COAL,55.2,0.4639,2814201,2318.22
2019,14593123,NUCLEAR,44.5,0.8253,0,0
360,1261737,COAL,56,0.3997,1546600.91,2451.54
1319,6148706,COAL,47.5,0.5322,7114433.59,2314.12
1786,9013199,COAL,41.5,0.5762,10635540.71,2359.99
2019,14796251,NUCLEAR,43,0.8368,0,0
794,3852870,COAL,53.8,0.5541,4470854.67,2320.79
1269,5786390,COAL,55.8,0.5206,6753848.76,2334.39
663,1549600,COAL,47,0.2669,1826829.9,2357.81
1100,7854429,COAL,61,0.8153,9011867.38,2294.72
1894,12712781,COAL,42.3,0.7662,13007072.44,2046.3
718,2999070,COAL,46.5,0.4768,3714978.71,2477.42
306,2252919,COAL,57.5,0.8396,2636390.87,2340.42
197,687457,COAL,58.5,0.3978,886407.93,2578.8
650,3649048,COAL,56.1,0.6408,4022392.15,2204.63
76,6743,HYDRO,46.3,0.0102,282.34,83.74
55,67555,GEOTHERMAL,30,0.1402,2999.44,88.8
1,7529,HYDRO,86,0.7813,0,0
20,78171,HYDRO,29,0.4553,0,0
624,164539,GAS,12.6,0.0301,101858.97,1238.11
9,32013,HYDRO,30,0.3888,0,0
3,1043,HYDRO,31,0.0425,0,0
14,283,OIL,28.9,0.0022,268.83,1899.89
11,131,OIL,35.6,0.0014,82.38,1257.78
13,474,OIL,27.7,0.0043,400.47,1689.75
16,128,OIL,53.6,0,121.49,1898.3
8,66,OIL,43.7,0.001,58.82,1782.51
7,44,OIL,46.9,0,31.31,1419.83
16,82,OIL,25.8,0,118.71,2895.35
32,5873,WIND,33,0.0207,969.66,330.21
18,168,OIL,38.8,0.0011,136.63,1626.5
9,66,OIL,29.2,0,46.14,1398.24
17,240,OIL,11.9,0.0016,192.09,1600.79
7,43,OIL,51.5,0,39.19,1822.7
37,30442,HYDRO,28.4,0.0937,139.73,9.18
