id,name,lat,lon,nameplate,generation,fuel,
2035,Lawrenceburg Energy Facility,39.0913,-84.8667,1232,1469295,GAS,
4825,Morgan Creek,32.3358,-100.9158,1224,47759,GAS,
3112,Jack Watson,30.4408,-89.0265,1216,3013400,COAL,
4131,Calpine Oneta Power LLC,36.0119,-95.6967,1214,2715851,GAS,
3324,Coal Creek,47.3761,-101.1567,1212,8699715,COAL,
293,West Phoenix,33.4417,-112.1583,1207,1719691,GAS,
661,La Paloma Generating LLC,35.2956,-119.5919,1200,5288401,GAS,
3046,New Madrid,36.5147,-89.5617,1200,7496145,COAL,
5218,Columbia Generating Station,46.4711,-119.3339,1200,9241133,NUCLEAR,
2302,Waterford 3,29.9943,-90.3951,1200,10276184,NUCLEAR,
2027,Harding Street,39.7119,-86.1975,1198,3333287,COAL,
2007,Cayuga,39.9239,-87.4272,1193,5956642,COAL,
1236,Hay Road,39.7436,-75.5072,1193,2448136,GAS,
1426,KGen Murray I and II LLC,34.7094,-84.9182,1192,2406931,GAS,
3287,Rowan,35.7325,-80.6019,1192,2122231,GAS,
5462,South Oak Creek,42.8457,-87.8294,1192,4778637,COAL,
4671,Big Brown Power Company LLC,31.8206,-96.0561,1187,9289562,COAL,
2896,Prairie Island,44.625,-92.6342,1186,8782933,NUCLEAR,
3678,Tracy,39.5625,-119.525,1183,3573171,GAS,
5445,Port Washington Generating Station,43.3842,-87.8689,1182,2655942,GAS,
2663,New Covert Generating Facility,42.3231,-86.2925,1176,2224519,GAS,
4946,Valley NG Power Company LLC,33.6281,-96.3678,1175,312212,GAS,
4920,T H Wharton,29.9414,-95.5333,1174,959138,GAS,
2070,Wabash River,39.53,-87.4247,1173,2888241,COAL,
3569,PSEG Hope Creek Generating Station,39.4661,-75.5348,1170,9438542,NUCLEAR,
2317,Canal,41.7694,-70.5097,1165,120754,OIL,
5482,Weston,44.8606,-89.6553,1163,6805322,COAL,
4716,DeCordova Power Company LLC,32.4033,-97.6986,1157,22426,GAS,
3219,G G Allen,35.1897,-81.0122,1155,5473381,COAL,
5502,FirstEnergy Fort Martin Power Station,39.7107,-79.9275,1152,6335397,COAL,
2221,Riverside Generating LLC,38.1933,-82.6042,1150,67093,GAS,
1091,Fort St Vrain,40.2461,-104.8742,1148,3347997,GAS,
4768,Guadalupe Generating Station,29.6237,-98.1395,1142,4340171,GAS,
5558,Laramie River Station 2&3,42.1103,-104.8828,1140,8312110,COAL,
